time,open,high,low,close,tick_volume,spread,real_volume
2026-04-01 01:00:00,4667.56,4681.52,4667.54,4674.05,666,84,0
2026-04-01 01:05:00,4674.05,4677.65,4664.16,4669.39,924,4,0
2026-04-01 01:10:00,4669.39,4674.12,4662.91,4668.99,1106,4,0
2026-04-01 01:15:00,4668.96,4673.73,4666.12,4666.9,1063,4,0
2026-04-01 01:20:00,4666.9,4681.86,4663.08,4681.45,827,4,0
2026-04-01 01:25:00,4681.45,4686.61,4670.92,4674.54,1106,4,0
2026-04-01 01:30:00,4674.54,4676.51,4671.12,4673.01,572,4,0
2026-04-01 01:35:00,4673.01,4695.44,4671.79,4694.87,1682,4,0
2026-04-01 01:40:00,4694.87,4696.44,4683.66,4684.68,1597,4,0
2026-04-01 01:45:00,4684.68,4686.92,4661.63,4670.92,2031,4,0
2026-04-01 01:50:00,4670.92,4678.84,4668.11,4671.3,1277,4,0
2026-04-01 01:55:00,4671.31,4683.93,4664.57,4680.84,1455,4,0
2026-04-01 02:00:00,4680.84,4682.59,4676.02,4677.06,1066,4,0
2026-04-01 02:05:00,4677.09,4677.86,4674.11,4674.74,894,4,0
2026-04-01 02:10:00,4674.76,4680.47,4672.85,4676.29,985,4,0
2026-04-01 02:15:00,4676.29,4679.81,4673.74,4673.88,952,4,0
2026-04-01 02:20:00,4673.77,4677.27,4671.91,4677.08,1054,4,0
2026-04-01 02:25:00,4677.08,4684.39,4676.92,4682.42,1148,4,0
2026-04-01 02:30:00,4682.35,4688.33,4681.81,4687.12,1107,4,0
2026-04-01 02:35:00,4687.12,4692.32,4686.77,4692.04,1113,4,0
2026-04-01 02:40:00,4692.04,4694.89,4689.23,4690.98,1197,4,0
2026-04-01 02:45:00,4690.98,4693.17,4688.43,4689.16,1228,4,0
2026-04-01 02:50:00,4689.16,4692.67,4689.1,4691.68,1118,4,0
2026-04-01 02:55:00,4691.68,4700.14,4691.64,4696.22,1497,4,0
2026-04-01 03:00:00,4696.26,4700.23,4693.42,4698.72,1952,4,0
2026-04-01 03:05:00,4698.72,4704.71,4697.51,4700.87,1714,4,0
2026-04-01 03:10:00,4700.88,4704.98,4694.31,4703.36,1547,4,0
2026-04-01 03:15:00,4703.36,4712.44,4702.66,4707.34,1912,4,0
2026-04-01 03:20:00,4707.36,4714.45,4705.95,4714.45,1645,4,0
2026-04-01 03:25:00,4714.45,4721.8,4713.53,4721.74,1877,4,0
2026-04-01 03:30:00,4721.74,4722.36,4704.4,4705.35,1657,4,0
2026-04-01 03:35:00,4705.58,4706.79,4700.05,4704.23,1746,4,0
2026-04-01 03:40:00,4704.23,4706.83,4703.69,4706.52,1254,4,0
2026-04-01 03:45:00,4706.52,4710.6,4704.75,4706.92,1466,4,0
