time,open,high,low,close,tick_volume,spread,real_volume
2025-05-13 04:00:00,3239.92,3253.4,3215.99,3252.54,17498,5,0
2025-05-13 08:00:00,3252.83,3265.43,3247.37,3255.59,17653,5,0
2025-05-13 12:00:00,3255.49,3258.62,3237.38,3242.1,17066,5,0
2025-05-13 16:00:00,3241.67,3257.82,3225.57,3251.03,20872,5,0
2025-05-13 20:00:00,3251.0,3254.82,3242.03,3249.98,13765,6,0
2025-05-14 00:00:00,3249.67,3257.05,3240.6,3243.78,7399,6,0
2025-05-14 04:00:00,3244.06,3251.56,3222.64,3223.97,15709,5,0
2025-05-14 08:00:00,3223.95,3243.79,3221.83,3232.55,16124,5,0
2025-05-14 12:00:00,3232.58,3239.2,3184.14,3184.73,16745,7,0
2025-05-14 16:00:00,3184.36,3198.29,3173.84,3188.55,18554,5,0
2025-05-14 20:00:00,3188.59,3190.43,3168.03,3177.4,13491,5,0
2025-05-15 00:00:00,3178.39,3187.88,3177.74,3187.81,7479,6,0
2025-05-15 04:00:00,3187.75,3192.65,3135.63,3138.61,16103,5,0
2025-05-15 08:00:00,3138.78,3164.14,3120.78,3162.62,17606,5,0
2025-05-15 12:00:00,3162.58,3189.84,3159.38,3188.87,16222,5,0
2025-05-15 16:00:00,3189.18,3222.63,3185.3,3222.4,18399,5,0
2025-05-15 20:00:00,3222.48,3240.5,3216.5,3239.64,13574,5,0
2025-05-16 00:00:00,3238.34,3252.14,3232.06,3243.15,11169,5,0
2025-05-16 04:00:00,3243.16,3244.41,3206.57,3219.64,17399,5,0
2025-05-16 08:00:00,3219.58,3231.23,3195.65,3207.44,17465,5,0
2025-05-16 12:00:00,3207.32,3212.88,3154.35,3177.45,18790,5,0
2025-05-16 16:00:00,3177.5,3189.75,3166.26,3189.33,20035,5,0
2025-05-16 20:00:00,3189.32,3202.87,3183.47,3201.0,14289,5,0
2025-05-19 00:00:00,3219.73,3249.75,3206.42,3246.44,13292,5,0
2025-05-19 04:00:00,3246.12,3246.42,3206.69,3215.89,16139,5,0
2025-05-19 08:00:00,3215.91,3244.89,3214.91,3244.46,17495,5,0
2025-05-19 12:00:00,3244.7,3248.47,3228.9,3229.28,16756,5,0
2025-05-19 16:00:00,3229.23,3241.63,3217.34,3231.85,19146,9,0
2025-05-19 20:00:00,3231.87,3235.78,3225.18,3230.12,13007,5,0
2025-05-20 00:00:00,3230.75,3230.78,3214.33,3222.79,8324,7,0
2025-05-20 04:00:00,3223.3,3232.65,3204.57,3217.28,16769,5,0
2025-05-20 08:00:00,3217.1,3235.83,3207.97,3235.83,17375,5,0
2025-05-20 12:00:00,3235.95,3250.76,3230.6,3242.8,16561,5,0
2025-05-20 16:00:00,3242.39,3285.71,3232.88,3278.94,20527,5,0
2025-05-20 20:00:00,3278.86,3295.68,3278.31,3289.66,15033,5,0
2025-05-21 00:00:00,3289.94,3304.2,3288.59,3303.46,10838,5,0
2025-05-21 04:00:00,3303.46,3314.48,3285.56,3302.11,17744,5,0
2025-05-21 08:00:00,3302.12,3320.67,3298.47,3308.48,18306,5,0
2025-05-21 12:00:00,3308.54,3318.23,3290.95,3302.52,18540,5,0
2025-05-21 16:00:00,3302.71,3315.17,3295.43,3303.08,19918,5,0
2025-05-21 20:00:00,3303.1,3324.84,3302.78,3315.11,16123,5,0
2025-05-22 00:00:00,3316.05,3326.24,3315.63,3323.77,9579,8,0
2025-05-22 04:00:00,3323.77,3345.31,3320.5,3338.56,16952,5,0
2025-05-22 08:00:00,3338.56,3339.41,3310.27,3311.35,18174,7,0
2025-05-22 12:00:00,3311.25,3314.71,3283.15,3304.04,20253,5,0
2025-05-22 16:00:00,3304.16,3315.72,3279.37,3301.54,21039,7,0
2025-05-22 20:00:00,3301.56,3301.76,3289.09,3294.71,14753,8,0
2025-05-23 00:00:00,3294.54,3308.85,3287.05,3300.93,8553,6,0
2025-05-23 04:00:00,3301.35,3316.14,3291.05,3313.6,16405,5,0
2025-05-23 08:00:00,3313.55,3334.33,3312.55,3326.37,17827,5,0
2025-05-23 12:00:00,3326.37,3360.43,3323.46,3357.07,19219,5,0
2025-05-23 16:00:00,3357.49,3364.55,3336.56,3359.02,21172,5,0
2025-05-23 20:00:00,3359.01,3365.87,3356.45,3357.9,13933,5,0
2025-05-26 00:00:00,3353.88,3356.33,3331.6,3341.82,9919,5,0
2025-05-26 04:00:00,3342.6,3356.76,3335.68,3349.84,14743,7,0
2025-05-26 08:00:00,3349.83,3351.83,3331.13,3334.39,14670,5,0
2025-05-26 12:00:00,3334.77,3336.12,3323.52,3334.39,11657,8,0
2025-05-26 16:00:00,3334.4,3343.54,3331.49,3342.11,6652,5,0
2025-05-26 20:00:00,3342.1,3343.16,3340.48,3342.19,2296,17,0
2025-05-27 00:00:00,3343.87,3349.77,3342.5,3345.04,7978,5,0
2025-05-27 04:00:00,3345.08,3347.34,3330.72,3330.9,15227,5,0
2025-05-27 08:00:00,3330.9,3332.66,3292.64,3298.56,18118,5,0
2025-05-27 12:00:00,3298.58,3309.59,3287.84,3293.81,18809,5,0
2025-05-27 16:00:00,3294.19,3304.66,3284.9,3297.79,19738,5,0
2025-05-27 20:00:00,3297.84,3307.96,3296.87,3300.56,11700,5,0
2025-05-28 00:00:00,3301.03,3315.76,3298.18,3308.51,7348,5,0
2025-05-28 04:00:00,3308.44,3313.48,3291.68,3296.41,14684,5,0
2025-05-28 08:00:00,3296.29,3323.77,3296.03,3321.57,16156,5,0
2025-05-28 12:00:00,3321.58,3325.44,3305.38,3312.27,14696,8,0
2025-05-28 16:00:00,3312.26,3316.28,3288.62,3293.44,17746,5,0
2025-05-28 20:00:00,3293.66,3303.04,3276.94,3288.64,13483,5,0
2025-05-29 00:00:00,3287.71,3295.15,3250.33,3264.81,14101,5,0
2025-05-29 04:00:00,3265.03,3280.09,3245.52,3269.13,18900,8,0
2025-05-29 08:00:00,3269.28,3289.25,3266.04,3281.75,17904,5,0
2025-05-29 12:00:00,3281.67,3317.49,3276.25,3316.45,18954,5,0
2025-05-29 16:00:00,3316.52,3331.23,3304.8,3322.26,21280,5,0
2025-05-29 20:00:00,3322.28,3325.74,3315.31,3317.56,14180,5,0
2025-05-30 00:00:00,3318.43,3320.96,3309.65,3312.52,8483,5,0
2025-05-30 04:00:00,3312.51,3322.7,3291.27,3296.28,16723,5,0
2025-05-30 08:00:00,3296.22,3305.02,3287.51,3295.77,17244,5,0
2025-05-30 12:00:00,3295.54,3306.73,3282.82,3304.09,16769,5,0
2025-05-30 16:00:00,3303.96,3308.24,3271.82,3293.52,21174,6,0
2025-05-30 20:00:00,3293.32,3295.71,3288.72,3288.72,12927,16,0
2025-06-02 00:00:00,3298.35,3316.57,3295.92,3311.35,9993,5,0
2025-06-02 04:00:00,3311.33,3318.21,3301.45,3313.88,13667,12,0
2025-06-02 08:00:00,3313.94,3358.82,3313.87,3352.09,15844,5,0
2025-06-02 12:00:00,3352.13,3363.64,3344.47,3355.44,16035,5,0
2025-06-02 16:00:00,3355.6,3379.19,3350.26,3371.53,18961,5,0
2025-06-02 20:00:00,3371.4,3382.92,3370.81,3381.6,13454,5,0
2025-06-03 00:00:00,3382.82,3392.24,3373.82,3375.89,9012,5,0
2025-06-03 04:00:00,3375.9,3377.95,3359.29,3362.74,15777,5,0
2025-06-03 08:00:00,3362.78,3367.67,3351.24,3361.15,15695,5,0
2025-06-03 12:00:00,3360.95,3362.99,3349.08,3359.37,14664,5,0
2025-06-03 16:00:00,3359.61,3363.13,3333.2,3348.44,17405,5,0
2025-06-03 20:00:00,3348.37,3355.48,3347.4,3353.3,10882,5,0
2025-06-04 00:00:00,3354.69,3361.61,3349.84,3350.26,8107,5,0
2025-06-04 04:00:00,3350.27,3372.62,3346.56,3354.8,16978,5,0
2025-06-04 08:00:00,3354.81,3365.28,3348.03,3362.76,17793,5,0
2025-06-04 12:00:00,3362.82,3364.95,3343.8,3358.83,17514,5,0
2025-06-04 16:00:00,3358.92,3384.65,3350.85,3375.06,20195,5,0
2025-06-04 20:00:00,3374.98,3382.15,3370.74,3372.6,11877,5,0
2025-06-05 00:00:00,3373.4,3381.67,3372.39,3380.3,7176,7,0
2025-06-05 04:00:00,3380.22,3384.1,3364.17,3368.4,14656,8,0
2025-06-05 08:00:00,3368.48,3376.9,3361.2,3375.21,15065,5,0
2025-06-05 12:00:00,3375.23,3403.33,3374.09,3383.06,19143,5,0
2025-06-05 16:00:00,3383.58,3388.27,3339.61,3354.21,22348,5,0
