time,open,high,low,close,tick_volume,spread,real_volume
2026-01-28 06:58:00,5246.91,5248.91,5246.53,5247.59,408,4,0
2026-01-28 06:59:00,5247.59,5247.69,5245.54,5245.57,246,4,0
2026-01-28 07:00:00,5245.6,5246.11,5244.72,5245.84,249,4,0
2026-01-28 07:01:00,5245.84,5246.21,5242.49,5242.61,328,4,0
2026-01-28 07:02:00,5242.56,5244.5,5241.6,5243.86,581,4,0
2026-01-28 07:03:00,5243.86,5243.93,5242.5,5243.16,450,4,0
2026-01-28 07:04:00,5243.16,5248.82,5242.74,5247.97,612,4,0
2026-01-28 07:05:00,5247.97,5250.18,5247.48,5249.34,416,4,0
2026-01-28 07:06:00,5249.38,5251.23,5249.23,5251.09,501,4,0
2026-01-28 07:07:00,5251.09,5252.94,5250.63,5252.21,478,4,0
2026-01-28 07:08:00,5252.23,5252.45,5250.75,5251.5,489,4,0
2026-01-28 07:09:00,5251.5,5254.0,5251.5,5253.85,471,4,0
2026-01-28 07:10:00,5253.85,5256.66,5253.34,5255.96,496,4,0
2026-01-28 07:11:00,5255.96,5257.5,5254.59,5254.81,408,4,0
2026-01-28 07:12:00,5254.81,5255.87,5250.72,5251.23,480,4,0
2026-01-28 07:13:00,5251.23,5252.7,5250.92,5252.57,582,4,0
2026-01-28 07:14:00,5252.57,5255.49,5251.72,5253.91,410,4,0
2026-01-28 07:15:00,5253.91,5254.86,5252.76,5254.52,260,4,0
2026-01-28 07:16:00,5254.52,5256.13,5254.23,5254.51,326,4,0
2026-01-28 07:17:00,5254.52,5255.61,5253.5,5254.92,343,4,0
2026-01-28 07:18:00,5254.9,5256.01,5254.11,5255.51,215,4,0
2026-01-28 07:19:00,5255.51,5257.7,5255.24,5257.66,343,4,0
2026-01-28 07:20:00,5257.66,5258.79,5257.22,5257.24,432,4,0
2026-01-28 07:21:00,5257.24,5257.54,5254.99,5255.5,321,4,0
2026-01-28 07:22:00,5255.5,5256.91,5254.99,5255.8,322,4,0
2026-01-28 07:23:00,5255.8,5259.79,5255.71,5259.71,427,4,0
2026-01-28 07:24:00,5259.71,5260.87,5256.97,5257.06,358,4,0
2026-01-28 07:25:00,5257.06,5257.09,5252.0,5253.04,455,4,0
2026-01-28 07:26:00,5253.04,5253.8,5252.16,5252.44,361,4,0
2026-01-28 07:27:00,5252.44,5255.24,5252.39,5253.91,342,4,0
