time,open,high,low,close,tick_volume,spread,real_volume
2025-10-01 01:00:00,3858.58,3861.25,3854.67,3860.07,2994,9,0
2025-10-01 02:00:00,3860.31,3863.01,3860.15,3862.76,2695,15,0
2025-10-01 03:00:00,3862.87,3865.33,3858.62,3860.94,3709,5,0
2025-10-01 04:00:00,3860.38,3868.95,3858.97,3868.88,3907,10,0
2025-10-01 05:00:00,3869.0,3875.58,3857.92,3863.34,4323,6,0
2025-10-01 06:00:00,3863.24,3866.34,3855.55,3861.97,3967,5,0
2025-10-01 07:00:00,3861.99,3865.04,3857.46,3864.87,3552,6,0
2025-10-01 08:00:00,3864.93,3869.9,3862.1,3863.45,3721,5,0
2025-10-01 09:00:00,3863.3,3864.84,3853.35,3859.21,4246,5,0
2025-10-01 10:00:00,3859.19,3879.88,3859.03,3879.2,4586,7,0
2025-10-01 11:00:00,3879.23,3895.34,3879.09,3893.0,4558,5,0
2025-10-01 12:00:00,3893.03,3895.23,3883.65,3889.03,4293,5,0
2025-10-01 13:00:00,3889.08,3889.56,3885.23,3887.51,3740,6,0
2025-10-01 14:00:00,3887.44,3888.45,3878.14,3883.59,3862,11,0
2025-10-01 15:00:00,3884.07,3891.19,3864.65,3870.41,5064,5,0
2025-10-01 16:00:00,3870.2,3877.19,3863.8,3872.8,5056,5,0
2025-10-01 17:00:00,3872.71,3878.68,3856.21,3872.98,5165,7,0
2025-10-01 18:00:00,3872.81,3876.84,3858.03,3868.55,5070,5,0
2025-10-01 19:00:00,3868.36,3871.62,3860.84,3870.88,4277,10,0
2025-10-01 20:00:00,3870.91,3871.87,3860.73,3860.82,3989,5,0
2025-10-01 21:00:00,3860.48,3866.28,3854.85,3862.14,4381,5,0
2025-10-01 22:00:00,3862.35,3870.86,3861.39,3867.77,4050,5,0
2025-10-01 23:00:00,3867.81,3867.82,3860.35,3865.49,2914,7,0
2025-10-02 01:00:00,3867.81,3870.33,3858.75,3862.15,2658,10,0
2025-10-02 02:00:00,3862.16,3866.61,3857.48,3863.45,3132,5,0
2025-10-02 03:00:00,3862.95,3863.76,3855.81,3856.04,3903,6,0
2025-10-02 04:00:00,3856.0,3865.08,3852.86,3865.01,3927,7,0
2025-10-02 05:00:00,3865.04,3869.97,3861.68,3866.23,3411,5,0
2025-10-02 06:00:00,3866.12,3869.4,3863.9,3866.54,3019,12,0
2025-10-02 07:00:00,3866.56,3867.67,3861.95,3864.24,2241,13,0
2025-10-02 08:00:00,3864.23,3871.44,3864.22,3867.84,3156,7,0
2025-10-02 09:00:00,3867.92,3874.33,3862.16,3864.19,3881,6,0
2025-10-02 10:00:00,3863.91,3874.68,3861.7,3868.55,4466,11,0
2025-10-02 11:00:00,3868.74,3878.68,3864.64,3874.61,3993,10,0
2025-10-02 12:00:00,3874.6,3879.59,3873.38,3879.06,3781,7,0
2025-10-02 13:00:00,3879.09,3883.77,3875.79,3881.83,3651,6,0
2025-10-02 14:00:00,3881.94,3886.66,3879.74,3886.34,3669,7,0
2025-10-02 15:00:00,3886.31,3891.97,3880.12,3884.37,4723,5,0
2025-10-02 16:00:00,3884.5,3896.82,3873.45,3875.41,5124,5,0
2025-10-02 17:00:00,3875.29,3876.64,3825.53,3839.91,5576,5,0
2025-10-02 18:00:00,3839.81,3844.87,3819.28,3828.25,5380,5,0
2025-10-02 19:00:00,3828.27,3845.31,3827.29,3844.93,4941,5,0
2025-10-02 20:00:00,3844.78,3847.97,3840.79,3844.28,4431,5,0
2025-10-02 21:00:00,3844.3,3851.44,3843.62,3850.91,3603,5,0
2025-10-02 22:00:00,3850.88,3858.96,3850.52,3855.68,4177,6,0
2025-10-02 23:00:00,3855.71,3859.29,3853.54,3856.19,2275,5,0
2025-10-03 01:00:00,3855.72,3858.61,3852.21,3857.17,2349,7,0
2025-10-03 02:00:00,3857.09,3863.82,3856.85,3862.46,2801,5,0
2025-10-03 03:00:00,3862.53,3862.73,3856.43,3856.91,3510,10,0
2025-10-03 04:00:00,3856.79,3862.57,3847.42,3858.33,4417,5,0
2025-10-03 05:00:00,3858.22,3859.06,3847.78,3848.17,3610,11,0
2025-10-03 06:00:00,3848.19,3850.94,3838.11,3842.69,3915,5,0
2025-10-03 07:00:00,3842.59,3848.25,3841.57,3843.98,3202,9,0
2025-10-03 08:00:00,3844.03,3859.14,3843.93,3855.12,3764,6,0
2025-10-03 09:00:00,3854.75,3861.09,3851.08,3859.18,3750,5,0
2025-10-03 10:00:00,3859.3,3865.23,3857.15,3864.19,3759,7,0
2025-10-03 11:00:00,3864.31,3865.57,3860.37,3864.78,3536,5,0
2025-10-03 12:00:00,3864.66,3864.88,3856.8,3864.2,3566,8,0
2025-10-03 13:00:00,3864.24,3867.64,3862.14,3865.89,3683,6,0
2025-10-03 14:00:00,3865.84,3867.06,3854.83,3862.08,4242,11,0
2025-10-03 15:00:00,3862.13,3874.93,3860.55,3873.77,4440,5,0
2025-10-03 16:00:00,3874.08,3890.48,3870.08,3882.52,5172,5,0
2025-10-03 17:00:00,3885.89,3885.89,3866.38,3879.61,5356,5,0
2025-10-03 18:00:00,3880.02,3891.61,3873.99,3889.33,4899,5,0
2025-10-03 19:00:00,3889.41,3889.7,3880.6,3883.72,4538,5,0
2025-10-03 20:00:00,3883.67,3885.96,3877.05,3881.98,4529,5,0
