timestamp,close_time,direction,source_tf,entry,stop_loss,take_profit,rr,pnl,balance,session,spread,trade_duration,peak,drawdown
2026-01-28 21:00:00,2026-01-28 21:57:00,SHORT,H1,5283.11,5326.32,5024.2,6.0,-43.210000000000036,9956.79,New York,4,57.0,9956.79,0.0
2026-01-28 21:01:00,2026-01-28 21:57:00,SHORT,H1,5291.98,5326.32,5086.29,6.0,-34.340000000000146,9922.45,New York,4,56.0,9956.79,0.0034489027086038915
2026-01-30 14:00:00,2026-01-30 14:46:00,LONG,H1,5136.02,5089.81,5412.65,6.0,-46.210000000000036,9876.240000000002,London/NY Overlap,4,46.0,9956.79,0.008089956702913214
2026-01-30 14:01:00,2026-01-30 14:46:00,LONG,H1,5144.9400000000005,5089.81,5475.09,6.0,-55.13000000000011,9821.11,London/NY Overlap,4,45.0,9956.79,0.013626881756067999
2026-01-30 14:57:00,2026-01-30 14:57:00,LONG,H1,5093.54,5089.81,5115.29,6.0,-48.489999999994325,9772.620000000006,London/NY Overlap,4,0.0,9956.79,0.0184969252138485
2026-02-05 08:00:00,2026-02-05 14:19:00,LONG,H1,4896.51,4826.14,5318.1,6.0,-70.36999999999989,9702.250000000007,London,4,379.0,9956.79,0.025564464049155758
2026-02-05 08:01:00,2026-02-05 14:19:00,LONG,H1,4893.02,4826.14,5293.67,6.0,-66.88000000000011,9635.370000000006,London,4,378.0,9956.79,0.03228148831099125
2026-02-11 18:00:00,2026-02-12 18:10:00,LONG,H1,5060.32,5038.94,5187.97,6.0,-42.76000000000022,9592.610000000006,New York,4,1450.0,9956.79,0.036576045090836985
2026-02-11 18:01:00,2026-02-12 18:10:00,LONG,H1,5059.1,5038.94,5179.43,6.0,-40.32000000000153,9552.290000000005,New York,4,1449.0,9956.79,0.04062554297117809
2026-02-13 18:00:00,2026-02-13 18:26:00,SHORT,H1,4976.75,5020.98,4711.72,6.0,-44.22999999999956,9508.060000000005,New York,4,26.0,9956.79,0.04506773769457786
2026-02-13 18:01:00,2026-02-13 18:26:00,SHORT,H1,4979.99,5020.98,4734.4,6.0,-40.98999999999978,9467.070000000005,New York,4,25.0,9956.79,0.049184526338307395
2026-02-13 18:35:00,2026-02-13 18:59:00,SHORT,H1,5019.09,5020.98,5008.1,6.0,274.74999999999454,9741.82,New York,4,24.0,9956.79,0.02159029165022072
2026-02-13 18:34:00,2026-02-13 19:07:00,SHORT,H1,5018.62,5020.98,5004.81,6.0,-47.19999999999345,9694.620000000006,New York,4,33.0,9956.79,0.026330775279984273
2026-02-17 18:00:00,2026-02-20 16:45:00,LONG,H1,4878.64,4848.87,5056.63,6.0,355.97999999999956,10050.600000000006,New York,4,4245.0,10050.600000000006,0.0
2026-02-17 18:01:00,2026-02-20 22:18:00,LONG,H1,4882.2300000000005,4848.87,5081.76,6.0,199.52999999999975,10250.130000000005,New York,4,4577.0,10250.130000000005,0.0
2026-02-24 18:00:00,2026-03-02 01:00:00,LONG,H1,5150.4800000000005,5117.74,5346.29,6.0,391.619999999999,10641.750000000004,New York,4,7620.0,10641.750000000004,0.0
2026-02-24 18:01:00,2026-03-02 01:00:00,LONG,H1,5150.27,5117.74,5344.82,6.0,389.09999999999854,11030.850000000002,New York,4,7619.0,11030.850000000002,0.0
2026-03-02 12:00:00,2026-03-02 15:05:00,SHORT,H1,5392.04,5403.12,5325.91,6.0,-55.399999999999636,10975.450000000003,London,4,185.0,11030.850000000002,0.005022278428226259
2026-03-02 12:01:00,2026-03-02 15:05:00,SHORT,H1,5389.3,5403.12,5306.73,6.0,-55.27999999999884,10920.170000000004,London,4,184.0,11030.850000000002,0.010033678275019463
2026-03-03 18:00:00,2026-03-16 01:20:00,LONG,H1,5095.63,4995.67,5694.76,6.0,-99.96000000000004,10820.210000000003,New York,4,17720.0,11030.850000000002,0.019095536608692835
2026-03-03 18:01:00,2026-03-16 01:20:00,LONG,H1,5093.92,4995.67,5682.79,6.0,-98.25,10721.960000000003,New York,4,17719.0,11030.850000000002,0.028002375156946143
2026-03-19 01:00:00,2026-03-19 08:35:00,LONG,H1,4834.9,4804.93,5013.32,6.0,-59.9399999999987,10662.020000000004,Asian,15,455.0,11030.850000000002,0.0334362265827201
2026-03-19 01:01:00,2026-03-19 08:35:00,LONG,H1,4831.6900000000005,4804.93,4991.62,6.0,-53.52000000000044,10608.500000000004,Asian,4,454.0,11030.850000000002,0.03828807390182973
2026-03-23 01:00:00,2026-03-23 02:03:00,LONG,H1,4498.599999999999,4449.29,4793.06,6.0,-49.30999999999949,10559.190000000004,Asian,15,63.0,11030.850000000002,0.04275826432233218
2026-03-23 01:01:00,2026-03-23 02:03:00,LONG,H1,4498.82,4449.29,4795.37,6.0,-49.529999999999745,10509.660000000003,Asian,4,62.0,11030.850000000002,0.04724839880879521
2026-03-31 03:00:00,2026-03-31 03:20:00,LONG,H1,4513.83,4492.02,4644.06,6.0,-43.61999999999898,10466.040000000005,Asian,4,20.0,11030.850000000002,0.05120276315968376
2026-03-31 03:01:00,2026-03-31 03:20:00,LONG,H1,4516.78,4492.02,4664.71,6.0,-49.51999999999862,10416.520000000006,Asian,4,19.0,11030.850000000002,0.05569199109769385
2026-03-31 03:25:00,2026-03-31 03:25:00,LONG,H1,4493.78,4492.02,4503.71,6.0,-52.79999999997926,10363.720000000027,Asian,4,0.0,11030.850000000002,0.060478566928203664
2026-03-31 03:26:00,2026-03-31 03:45:00,LONG,H1,4499.24,4492.02,4541.93,6.0,298.8300000000036,10662.55000000003,Asian,4,19.0,11030.850000000002,0.03338817951472207
2026-03-31 03:27:00,2026-03-31 04:23:00,LONG,H1,4504.07,4492.02,4575.74,6.0,286.6800000000003,10949.23000000003,Asian,4,56.0,11030.850000000002,0.007399248471330104
2026-04-01 11:00:00,2026-04-01 14:30:00,SHORT,H1,4712.9,4747.97,4502.83,6.0,-70.14000000000124,10879.09000000003,London,4,210.0,11030.850000000002,0.013757779318907691
2026-04-06 13:00:00,2026-04-07 17:06:00,SHORT,H1,4693.59,4706.91,4614.02,6.0,318.27999999999884,11197.370000000028,London/NY Overlap,4,1686.0,11197.370000000028,0.0
2026-03-31 03:46:00,2026-04-08 03:01:00,LONG,H1,4542.14,4492.02,4842.23,6.0,300.08999999999924,11497.460000000028,Asian,4,11475.0,11497.460000000028,0.0
